leaf1	leaf2	leaf3
AT1G03103	0	0	0
AT1G03106	0.0210928	0	0.0208117
AT1G03110	5.97251	6.87791	6.47107
AT1G03120	0.673926	0.818562	0.753603
AT1G03130	1630.13	1599.27	1647.91
AT1G03140	30.7989	33.4561	32.1587
AT1G03150	21.7077	24.2822	27.937
AT1G03160	21.6326	25.4908	24.6315
AT1G03170	0.398049	0.395572	0.428448
AT1G03180	1.23944	1.65621	1.38228
AT1G03190	3.76393	4.32123	4.06352
AT1G03200	5.02707	7.23075	7.89695
AT1G03210	14.5221	12.0129	11.7402
AT1G03220	84.0799	63.4104	54.8575
AT1G03230	28.6966	22.5592	18.3867
AT1G03240	0.289358	0.158157	0.171301
AT1G03250	22.5975	23.2779	22.7401
AT1G03260	9.30055	8.03893	8.30455
AT1G03270	1.86876	2.27342	2.45069
AT1G03280	16.2074	18.8583	17.4427
AT1G03290	11.0276	12.2119	11.9035
AT1G03300	1.54042	1.65771	2.02095
AT1G03310	21.0796	23.6619	25.3745
AT1G03320	0.201853	0.429055	0.597488
AT1G03330	29.8365	33.2618	37.8916
AT1G03340	2.07524	2.61855	2.64249
AT1G03350	20.0561	21.1206	20.6847
AT1G03360	4.80533	5.89377	5.89803
AT1G03365	5.62608	6.26878	5.84929
AT1G03370	8.39312	8.92729	7.53649
AT1G03380	14.5313	15.0219	13.9699
AT1G03390	0	0.0236365	0.0256009
AT1G03400	31.1496	27.3874	28.1231
AT1G03410	1.96245	1.85035	2.31246
AT1G03420	39.4885	34.6729	35.8688
AT1G03430	20.0054	18.7868	19.8496
AT1G03440	10.2947	10.4084	10.2711
AT1G03445	0	0.0165714	0.0179486
AT1G03457	4.2622	4.45409	4.48271
AT1G03470	3.69668	3.90245	4.35439
AT1G03475	146.804	163.552	152.472
AT1G03490	0.0239744	0	0
AT1G03495	3.49318	4.02052	4.30584
AT1G03502	135.652	161.597	164.731
AT1G03506	157.396	430.147	155.298
AT1G03510	0.81929	0.990834	0.836245
AT1G03515	0	0	0
AT1G03520	8.63303	9.16409	9.55934
AT1G03530	3.4788	3.89009	3.70325
AT1G03540	0.828915	0.943888	0.87363
AT1G03545	0.707783	0.699638	0.698349
AT1G03550	2.54742	3.36819	3.08797
AT1G03560	2.7985	3.20876	3.26926
AT1G03570	0	0	0
AT1G03580	2.7722	2.86023	2.04011
AT1G03590	13.6432	14.5761	14.9225
AT1G03600	693.804	653.934	730.528
AT1G03610	40.8601	36.3776	38.9384
AT1G03620	1.36061	1.7096	1.57393
AT1G03630	153.487	202.016	194.147
AT1G03640	0	0	0
AT1G03650	3.00735	3.78778	3.12208
AT1G03660	1.43801	1.78633	2.32174
AT1G03670	0	0	0
AT1G03680	434.916	409.191	425.208
AT1G03687	6.72403	7.60389	7.64044
AT1G03700	0.106315	0.0645658	0.0699318
AT1G03710	0.371103	0.66855	0.422638
AT1G03720	0	0	0
AT1G03730	10.3463	9.50606	8.89287
AT1G03740	17.9886	16.5404	13.723
AT1G03743	0	0	0
AT1G03746	0	0	0
AT1G03750	1.7342	2.07453	1.79025
AT1G03760	4.04848	4.06749	3.78901
AT1G03770	1.59352	1.61727	1.79799
AT1G03780	2.72021	3.69356	2.69337
AT1G03790	0.0111945	0.0407911	0.16568
AT1G03800	0.433062	0.631205	0.512747
AT1G03810	0	0	0
AT1G03820	5.30167	7.86417	10.8092
AT1G03830	2.08203	2.25691	1.80854
AT1G03840	0.196425	0.254273	0.11221
AT1G03850	18.9232	13.2998	14.3594
AT1G03860	33.7713	38.4895	36.0768
AT1G03870	243.998	205.802	184.965
AT1G03880	0.0107228	0	0
AT1G03890	0	0	0
AT1G03900	69.8967	63.7577	66.6647
AT1G03905	1.49098	1.40301	1.09929
AT1G03910	17.2996	18.8505	16.6731
AT1G03920	0.204038	0.240083	0.243259
AT1G03930	18.044	19.6909	19.4876
AT1G03935	472.189	1433.82	621.194
AT1G03940	2.22143	2.62008	2.71094
AT1G03950	10.0714	9.52555	11.3812
AT1G03960	3.92594	4.52123	4.39838
AT1G03970	8.09861	8.53305	8.84108
AT1G03980	4.59922	4.86295	5.38746
AT1G03982	0	0	0
AT1G03990	1.15917	1.21738	1.23843
AT1G04000	14.3982	12.4077	12.241
AT1G04010	3.83456	4.0838	3.59772
AT1G04020	2.79317	3.89316	3.87169
AT1G04030	1.52037	2.2177	1.96026
AT1G04040	134.681	137.415	129.905
AT1G04050	1.23212	1.48903	1.52115
AT1G04070	8.91281	9.13415	7.44655
AT1G04080	27.0793	31.9812	28.0692
AT1G04090	0.208686	0.198026	0.360333
AT1G04100	3.09783	3.23466	2.86911
AT1G04110	2.34901	3.63645	2.94334
AT1G04120	9.30011	11.3041	9.26058
AT1G04130	4.76319	5.3704	4.67245
AT1G04140	36.756	38.3714	35.2712
AT1G04150	0.0107903	0.0393181	0
AT1G04160	1.78493	2.13777	1.71202
AT1G04170	50.0774	61.179	53.5282
AT1G04171	0	0	0
AT1G04180	1.40131	0.894894	1.55368
AT1G04190	14.8354	16.6922	16.901
AT1G04200	8.22825	9.04427	8.91672
AT1G04210	11.3792	13.6692	12.8549
AT1G04220	2.09404	2.36683	2.27657
AT1G04230	4.61885	5.20884	5.16406
AT1G04240	52.7916	54.6087	65.9107
AT1G04250	50.5074	46.6916	54.1586
AT1G04260	18.2824	15.969	15.9785
AT1G04270	388.081	443.804	391.96
AT1G04280	23.4372	22.7608	22.0801
AT1G04290	14.542	12.451	14.1471
AT1G04295	13.9612	11.6841	11.7324
AT1G04300	14.6639	15.2989	13.9106
AT1G04310	4.94993	5.05671	4.53082
AT1G04320	0	0	0
AT1G04330	0.527807	0.661117	0.423127
AT1G04340	26.8281	27.5822	24.1615
AT1G04350	30.1929	35.997	39.2692
AT1G04360	4.02825	3.4517	3.75099
AT1G04370	0.0791542	0.0721065	0
AT1G04380	0.0996172	0.0907475	0.140413
AT1G04390	3.38738	3.98263	3.60566
AT1G04400	70.5645	82.6236	74.0741
AT1G04410	566.311	558.557	524.567
AT1G04420	63.785	79.5144	88.1258
AT1G04425	7.02332	7.52044	7.17286
AT1G04430	76.6099	82.2419	74.7627
AT1G04440	31.1814	32.6578	33.9345
AT1G04445	0	0.224457	0.243111
AT1G04450	0	0	0
AT1G04457	0	0	0
AT1G04470	0	0	0
AT1G04480	158.548	191.244	168.896
AT1G04490	0.301597	0.343319	0.45398
AT1G04500	0.032557	0.138405	0.0214154
AT1G04501	0	0	0
AT1G04510	23.696	27.073	24.0433
AT1G04520	6.81808	9.15308	7.1179
AT1G04530	35.4958	39.3695	41.9296
AT1G04540	0.936984	1.30647	1.24524
AT1G04550	16.5677	19.3101	18.8928
AT1G04555	5.08341	4.95476	6.02704
AT1G04560	0.0236403	0	0
AT1G04570	0.477705	0.781697	0.724464
AT1G04580	0.00783977	0.0142835	0.0232058
AT1G04590	9.28293	12.4763	11.8804
AT1G04600	0.0735206	0.0418591	0.045338
AT1G04610	0.649536	0.791972	0.729616
AT1G04620	12.1827	13.87	11.224
AT1G04625	0.0270306	0.0246316	0.0533407
AT1G04630	43.4812	41.6604	44.7291
AT1G04635	2.03429	2.73561	2.16647
AT1G04640	32.9233	37.4043	37.1042
AT1G04645	0	0	0
AT1G04650	0.571764	0.61731	0.720849
AT1G04660	1.8539	2.32053	2.77869
AT1G04670	0	0	0
AT1G04680	70.75	69.1006	56.3941
AT1G04684	0	0	0
AT1G04690	76.5505	80.6805	78.7408
AT1G04700	0.626997	0.518214	0.508022
AT1G04710	8.81344	10.8488	10.2721
AT1G04720	0	0	0
AT1G04730	1.7509	2.16941	1.92198
AT1G04750	76.2878	78.5135	76.9919
AT1G04760	2.96051	3.21791	2.6555
AT1G04770	10.5236	11.8766	15.7753
AT1G04778	1.37154	1.38825	2.25543
AT1G04780	16.5005	17.6574	16.7794
AT1G04790	9.8827	11.2518	10.7297
AT1G04800	81.9213	98.0288	81.4071
AT1G04810	18.8022	20.4102	18.0465
AT1G04820	405.491	399.338	364.529
AT1G04830	12.2999	12.4026	12.7302
AT1G04840	0.409672	0.404296	0.54737
AT1G04850	37.524	42.7083	36.9024
AT1G04860	8.5214	10.0338	9.09322
AT1G04870	12.1597	14.6138	13.8396
AT1G04880	0.110808	0.131224	0.0983977
AT1G04890	0	0	0
AT1G04900	3.40426	4.17743	3.95163
AT1G04910	15.5483	17.4483	16.5417
AT1G04920	0.547965	0.588772	0.466725
AT1G04930	2.80456	2.43554	2.09405
AT1G04940	51.9471	59.3949	57.6038
AT1G04945	2.61132	3.02671	2.70524
AT1G04950	12.1241	13.6919	13.442
AT1G04960	15.5066	14.82	15.7369
AT1G04970	16.1573	18.6343	19.3546
AT1G04980	4.58961	6.05034	4.70261
AT1G04985	25.1658	25.9415	28.1167
AT1G04990	13.0994	12.4324	11.4879
AT1G05000	0.805614	0.823767	1.17842
AT1G05010	240.838	236.556	237.419
AT1G05020	1.7519	1.31836	1.68072
AT1G05030	8.50009	8.89501	8.94336
AT1G05040	0	0	0.0249065
AT1G05055	6.24066	6.99278	6.54378
AT1G05060	18.4908	20.6911	18.8151
AT1G05061	0.182663	0.11648	0.0901143
AT1G05065	15.9481	16.2816	20.3477
AT1G05070	23.0902	24.3248	27.2035
AT1G05080	0	0	0
AT1G05085	0	0	0
AT1G05090	6.72398	7.26015	7.76898
AT1G05100	0.344758	0.484179	0.467724
AT1G05120	7.05904	8.35527	7.30543
AT1G05135	88.5456	77.3248	68.36
AT1G05136	0	5.5181	2.98835
AT1G05140	42.6839	47.6039	50.239
AT1G05150	14.8304	17.4987	16.0186
AT1G05160	4.88535	5.22435	4.70738
AT1G05170	7.83773	9.47686	8.97196
AT1G05180	13.8616	15.8825	14.5436
AT1G05190	440.445	500.468	532.95
AT1G05200	12.2009	15.4198	16.5796
AT1G05205	21.2891	26.1513	23.0842
AT1G05210	7.56811	8.33264	8.00445
AT1G05220	0.153962	0.140253	0.303819
AT1G05230	11.7556	13.7107	13.1954
AT1G05240	0	0.117222	0.0282142
AT1G05250	0.0263953	0.132248	0
AT1G05260	2.18362	3.24114	1.92852
AT1G05270	18.2795	18.7438	18.279
AT1G05280	0	0	0
AT1G05290	0	0	0
AT1G05291	0	0	0
AT1G05300	8.9057	7.39901	4.2826
AT1G05310	3.58731	5.14233	2.92509
AT1G05320	7.02648	6.65476	6.39756
AT1G05330	0	0.339484	0.514777
AT1G05340	13.6605	14.1071	9.18571
AT1G05350	14.5693	16.3424	15.7351
AT1G05360	5.50831	6.53668	6.83005
AT1G05370	1.11728	1.34612	0.98385
AT1G05380	9.82669	11.0648	10.4423
AT1G05385	25.3689	29.095	31.1201
AT1G05390	0	0	0
AT1G05400	0.717946	0.61928	0.575672
AT1G05410	7.72354	8.27276	8.47249
AT1G05420	1.8768	2.29925	2.04335
AT1G05430	22.7813	23.9793	25.1995
AT1G05440	0.903651	0.886515	1.05164
AT1G05450	0.07273	0.0220826	0.0478356
AT1G05460	3.71817	4.40193	4.17774
AT1G05470	5.24294	5.71569	5.5365
AT1G05490	0.292075	0.272404	0.195552
